,T1,T2,C3,C4
150837,0.3395377894102492,0.3523454450693624,0.16380575055956142,0.1473026472759927
150841,0.14564004263916278,0.1348696313239054,0.15657217327287087,0.11596004245195027
150842,0.17311549872839965,0.2456150248154118,0.11215159768574826,0.11341048063207171
150843,0.028489408938318028,0.011697365629622904,0.0513737485107928,0.04869032040824564
150846,0.16764635802016864,0.18876888530217462,0.11911073526424912,0.12931435212784392
150847,0.11501340017851404,0.12069954306708504,0.10637366173032597,0.0882169808190677
150848,0.2757927765846169,0.2619553370822368,0.1268537047161652,0.15531674094314316
150849,0.44882256902892004,0.40971690051561493,0.32459845954166267,0.32436959786666797
150850,0.19610174470167446,0.19049055497867073,0.11056541114171253,0.09227425954543553
150858,0.09330028760297632,0.06796115539790576,0.07351630119588576,0.09577286826620489
150859,0.08016942866717205,0.048993728090673136,0.06740248883635196,0.060029160583845505
150860,0.09452012306858992,0.10440900458112551,0.08421406945700537,0.06903853332480396
150861,0.11705988778684043,0.1255103073961586,0.11674007776523805,0.10796519923354088
150862,0.11674595924010342,0.08571466486560633,0.11459580497577046,0.09424604408700696
150863,0.1446152219116208,0.12708059061279486,0.1634224383086022,0.1923265465239966
150864,0.21545535780983072,0.211765511010929,0.1483255351458142,0.14234987430822524
150865,0.41722442803813703,0.46114411812490036,0.260952240843911,0.28660212292100323
150866,0.035747865463091104,0.04602244930806935,0.024659697746419757,0.027646604866913838
150867,0.05313917436765134,0.0467952647236814,0.0341735680360514,0.04167758623246399
150868,0.7525559806749964,0.7312858437621162,0.6302504243228166,0.6409548133348824
150869,0.04701835618728892,0.05900887968369129,0.035265622859267334,0.014915145072144264
150871,0.1059977087725414,0.1352407076432933,0.12780420679376986,0.1054617994790612
150872,0.2670355883610595,0.2674963762409647,0.25453990989208186,0.2536674223468753
150873,0.07446473036294667,0.08041341809290746,0.0840768508676785,0.09129445280898688
150874,0.7096336995175779,0.6707286165166382,0.5258692401857553,0.5476585296423586
150875,0.4923665770581641,0.41862307413759003,0.17127949460209538,0.20684400105051992
150876,0.2944638223510235,0.24660419393616262,0.17454563818533236,0.16432726662001537
150877,0.21527015047146053,0.17830082911663614,0.2300620359133646,0.1580425760568277
150878,0.3884193096482842,0.3988043570994181,0.14131548954646386,0.15194406462420168
150880,0.01702388679335655,0.017145215203054905,0.039284375676960234,0.031964821223870725
150881,0.3364754218114051,0.35950049112846516,0.31955960634528624,0.29356161685749305
150883,0.18784575581811752,0.1548472630812497,0.17470065374872784,0.13709932937189007
150885,0.31568932006099104,0.2588323718312787,0.12261802455548364,0.18348463972128676
150886,0.2984773629063898,0.32521107484245426,0.2711565104200425,0.2942737582194065
